
11th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
dloraH,UK,House of Denmark,1035,2019-03-24 03:53:57
mailliW,UK,House of Normandy,1066,2019-03-24 03:53:57
mailliW,UK,House of Normandy,1087,2019-03-24 03:53:57
tunC,UK,House of Denmark,1016,2019-03-24 03:53:57
tunacahtraH,UK,House of Denmark,1040,2019-03-24 03:53:57

12th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drahciR,UK,House of Angevin,1189,2019-03-24 03:53:57
nehpetS,UK,House of Blois,1135,2019-03-24 03:53:57
nhoJ,UK,House of Angevin,1199,2019-03-24 03:53:57
yrneH,UK,House of Normandy,1100,2019-03-24 03:53:57
yrneH,UK,House of Angevin,1154,2019-03-24 03:53:57

13th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drawdE,UK,House of Plantagenet,1272,2019-03-24 03:53:57
yrneH,UK,House of Plantagenet,1216,2019-03-24 03:53:57

14th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drahciR,UK,House of Plantagenet,1377,2019-03-24 03:53:57
drawdE,UK,House of Plantagenet,1307,2019-03-24 03:53:57
drawdE,UK,House of Plantagenet,1327,2019-03-24 03:53:57
yrneH,UK,House of Lancaster,1399,2019-03-24 03:53:57

15th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drahciR,UK,House of York,1483,2019-03-24 03:53:57
drawdE,UK,House of York,1461,2019-03-24 03:53:57
drawdE,UK,House of York,1483,2019-03-24 03:53:57
yrneH,UK,House of Lancaster,1413,2019-03-24 03:53:57
yrneH,UK,House of Lancaster,1422,2019-03-24 03:53:57
yrneH,UK,House of Tudor,1485,2019-03-24 03:53:57

16th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drawdE,UK,House of Tudor,1547,2019-03-24 03:53:57
htebazilE,UK,House of Tudor,1558,2019-03-24 03:53:57
yraM,UK,House of Tudor,1553,2019-03-24 03:53:57
yrneH,UK,House of Tudor,1509,2019-03-24 03:53:57

17th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drahciR,UK,Commonwealth,1658,2019-03-24 03:53:57
htlaewnommoC,UK,Commonwealth,1649,2019-03-24 03:53:57
mailliW,UK,House of Orange,1689,2019-03-24 03:53:57
revilO,UK,Commonwealth,1653,2019-03-24 03:53:57
selrahC,UK,House of Stuart,1625,2019-03-24 03:53:57
selrahC,UK,House of Stuart,1660,2019-03-24 03:53:57
semaJ,UK,House of Stuart,1603,2019-03-24 03:53:57
semaJ,UK,House of Stuart,1685,2019-03-24 03:53:57

18th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
egroeG,UK,House of Hanover,1714,2019-03-24 03:53:57
egroeG,UK,House of Hanover,1727,2019-03-24 03:53:57
egroeG,UK,House of Hanover,1760,2019-03-24 03:53:57
ennA,UK,House of Stuart,1702,2019-03-24 03:53:57

19th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
airotciV,UK,House of Hanover,1837,2019-03-24 03:53:57
egroeG,UK,House of Hanover,1820,2019-03-24 03:53:57
mailliW,UK,House of Hanover,1830,2019-03-24 03:53:57

20th century

Name,Country,House,Year_Of_Coronation,Ingestion_Time
drawdE,UK,House of Saxe-Coburg-Gotha,1901,2019-03-24 03:53:57
drawdE,UK,House of Windsor,1936,2019-03-24 03:53:57
egroeG,UK,House of Windsor,1910,2019-03-24 03:53:57
egroeG,UK,House of Windsor,1936,2019-03-24 03:53:57
htebazilE,UK,House of Windsor,1952,2019-03-24 03:53:57
